condition,run_id,tick,mother_alive,child_alive,mother_energy,child_hunger,child_warmth,deficit,eta,selected_motivation
fixed,2,400,1,0,43.600000000000705,100.0,13.0,2.688096662817601,,Forage
fixed,2,410,1,0,42.2000000000007,100.0,13.0,2.8321929747391836,,Forage
fixed,2,420,1,0,41.200000000000685,100.0,13.0,2.828918697582001,,Forage
fixed,2,430,1,0,40.20000000000067,100.0,13.0,2.831820159707271,,Forage
fixed,2,440,1,0,39.20000000000066,100.0,13.0,2.8352193131489214,,Forage
fixed,2,450,1,0,38.20000000000064,100.0,13.0,2.8360879873697606,,Forage
fixed,2,460,1,0,39.50000000000063,100.0,13.0,2.877445916147532,,Forage
fixed,2,470,1,0,38.50000000000062,100.0,13.0,2.8780878656768545,,Forage
fixed,2,480,1,0,37.500000000000604,100.0,13.0,2.8780880185299655,,Forage
fixed,2,490,1,0,36.50000000000059,100.0,13.0,2.878088018532948,,Forage
fixed,2,500,1,0,35.500000000000576,100.0,13.0,2.878088018532949,,Forage
fixed,2,510,1,0,36.800000000000566,100.0,13.0,2.920088018532949,,Forage
fixed,2,520,1,0,35.80000000000055,100.0,13.0,2.92008801853295,,Forage
fixed,2,530,1,0,34.80000000000054,100.0,13.0,2.920088018532951,,Forage
fixed,2,540,1,0,33.80000000000052,100.0,13.0,2.9200880185329514,,Forage
fixed,2,550,1,0,32.80000000000051,100.0,13.0,2.9200880185329523,,Forage
fixed,2,560,1,0,27.3000000000005,100.0,13.0,3.0700880185329527,,Forage
fixed,2,570,1,0,25.40000000000049,100.0,13.0,3.1000880185329533,,Forage
fixed,2,580,1,0,24.400000000000475,100.0,13.0,3.100088018532954,,Forage
fixed,2,590,1,0,22.500000000000462,100.0,13.0,3.1300880185329545,,Forage
fixed,2,600,1,0,21.500000000000448,100.0,13.0,3.1300880185329554,,Forage
fixed,2,610,1,0,19.600000000000435,100.0,13.0,3.160088018532956,,Forage
fixed,2,620,1,0,18.60000000000042,100.0,13.0,3.1600880185329565,,Forage
fixed,2,630,1,0,22.600000000000406,100.0,13.0,3.1120880185329574,,Forage
fixed,2,640,1,0,20.700000000000394,100.0,13.0,3.1420880185329576,,Forage
fixed,2,650,1,0,19.70000000000038,100.0,13.0,3.1420880185329585,,Forage
fixed,2,660,1,0,17.800000000000367,100.0,13.0,3.172088018532959,,Forage
fixed,2,670,1,0,16.800000000000352,100.0,13.0,3.17208801853296,,Forage
fixed,2,680,1,0,14.900000000000352,100.0,13.0,3.2020880185329608,,Forage
fixed,2,690,1,0,13.900000000000356,100.0,13.0,3.2020880185329608,,Forage
fixed,2,700,1,0,12.000000000000359,100.0,13.0,3.232088018532962,,Forage
fixed,2,710,1,0,11.000000000000362,100.0,13.0,3.232088018532962,,Forage
fixed,2,720,1,0,9.100000000000366,100.0,13.0,3.2620880185329626,,Forage
fixed,2,730,1,0,8.10000000000037,100.0,13.0,3.262088018532963,,Forage
fixed,2,740,1,0,6.200000000000372,100.0,13.0,3.2920880185329637,,Forage
fixed,2,750,1,0,5.200000000000376,100.0,13.0,3.292088018532964,,Forage
fixed,2,760,1,0,3.3000000000003777,100.0,13.0,3.3220880185329644,,Forage
fixed,2,770,1,0,2.300000000000377,100.0,13.0,3.322088018532965,,Forage
fixed,2,780,1,0,5.400000000000377,100.0,13.0,3.3040880185329655,,Forage
fixed,2,790,1,0,4.4000000000003805,100.0,13.0,3.304088018532966,,Forage
fixed,2,800,1,0,3.4000000000003814,100.0,13.0,3.3040880185329664,,Forage
fixed,2,810,1,0,6.500000000000384,100.0,13.0,3.286088018532967,,Forage
fixed,2,820,1,0,5.500000000000387,100.0,13.0,3.2860880185329675,,Forage
fixed,2,830,1,0,3.6000000000003887,100.0,13.0,3.316088018532968,,Forage
fixed,2,840,1,0,2.600000000000388,100.0,13.0,3.3160880185329686,,Forage
