tick,plasticity_this_tick,m0_energy,m0_fatigue,m0_bonding,m0_fear_threat,m0_stress,m0_closeness_child,m0_OT,m0_CORT,m0_mot_Forage,m0_mot_Care,m0_mot_Self,m0_mot_Protect,m0_sel_Forage,m0_sel_Care,m0_sel_Self,m0_sel_Protect,c0_hunger,c0_warmth,c0_injury
76,0,75.00000000000018,11.999999999999979,100.0,1.9515303529821795,17.80299726991376,100.0,99.99999998682911,12.78991319425544,28.830627201801914,37.44215959750146,13.758669182049358,15.028225719505661,0,1,0,0,38.0,50.0,0.0
77,0,74.70000000000019,12.099999999999978,100.0,4.762561740894661,18.204202039591642,100.0,99.99999999341455,14.975043195618927,28.782312703750797,37.44215959750146,14.108766403947092,16.36844829022018,0,1,0,0,38.5,50.0,0.0
78,0,74.40000000000019,12.199999999999978,100.0,13.239145246716381,20.125747109744797,100.0,99.99999999670727,20.937208959766544,27.972904421698505,37.44215959750146,15.334453481529428,20.409850526388436,0,1,0,0,39.0,50.0,0.0
79,0,74.1000000000002,12.299999999999978,100.0,22.47743699962724,25.95499162370004,100.0,99.99999999835364,27.407180730729248,27.06117047040572,37.44215959750146,18.144969170519907,24.814414337143855,0,1,0,0,39.5,50.0,0.0
80,0,73.8000000000002,12.399999999999977,100.0,32.09658287608267,34.1612572775244,100.0,99.99999999917682,34.131055505099475,26.09827368449269,37.44215959750146,21.91554407154411,29.40055893519287,0,1,0,0,40.0,50.0,0.0
81,0,73.5000000000002,12.499999999999977,100.0,39.835088002444905,43.76761921026736,100.0,99.99999999958841,39.601169906596496,25.38801670402962,37.44215959750146,26.150069711711094,33.090065668748984,0,1,0,0,40.5,50.0,0.0
82,0,73.2000000000002,12.599999999999977,100.0,43.704340565626026,53.02922890814749,100.0,99.9999999997942,42.49178266290057,25.19754385285887,37.44215959750146,30.06137755086115,34.93481903552703,0,1,0,0,41.0,50.0,0.0
83,0,72.9000000000002,12.699999999999976,100.0,42.71003465908206,59.96887775247149,100.0,99.9999999998971,42.14002313785181,25.660427292901637,37.44215959750146,32.818208506805966,34.46076128438446,0,1,0,0,41.5,50.0,0.0
84,0,72.60000000000021,12.799999999999976,100.0,39.28394951767555,63.045569252991484,100.0,99.99999999994856,40.167077472126635,26.44998887855116,37.44215959750146,33.927377434095135,32.827297974281564,0,1,0,0,42.0,50.0,0.0
85,0,72.30000000000021,12.899999999999975,100.0,39.641974758837776,62.839793623096476,100.0,99.99999999997428,40.71687206939659,26.731204087676616,37.44215959750146,33.91868667526689,32.997994577369816,0,1,0,0,42.5,50.0,0.0
86,0,72.00000000000021,12.999999999999975,100.0,44.82098737941889,63.09506797651524,100.0,99.99999999998714,44.48065825692046,26.364781881972707,37.44215959750146,34.32519507034102,35.46720557158525,0,1,0,0,43.0,50.0,0.0
87,0,71.50000000000021,13.499999999999975,100.0,52.41049368970944,66.25919364481518,100.0,99.99999999999358,49.85144023957126,25.67454096885411,37.44215959750146,36.00035713655152,39.085673761364255,0,0,0,1,43.5,49.5,0.0
88,0,71.00000000000021,13.999999999999975,100.0,61.20524684485472,72.32801924327893,90.0,94.99999999999679,56.20349789756333,24.92591087897385,31.799342143638228,39.1066313141131,41.01002185195484,0,0,0,1,44.0,49.0,0.0
89,0,70.80000000000021,9.999999999999975,100.0,58.53155561056188,80.57803564688992,80.0,47.499999999998394,54.99881485198239,25.717918233654864,26.156524689774997,42.523813787509056,37.466530597954026,0,0,1,0,44.5,48.5,0.0
90,0,70.60000000000021,5.999999999999975,100.0,50.12364218154999,83.5769190887375,80.0,23.749999999999197,49.91576145461494,27.124964045198013,26.486753085286363,41.08389037603079,33.457868368627736,0,0,1,0,45.0,48.0,0.0
91,0,70.4000000000002,1.9999999999999751,97.52083333333313,38.84861765517857,80.7460385342015,80.0,11.874999999999599,42.89352288135423,28.917169217881487,26.637323661493774,37.196129749969465,28.013968908913146,0,0,1,0,45.5,47.5,0.0
92,0,70.2000000000002,0.0,91.82291666666636,33.21110539199286,73.3981772237228,80.0,5.937499999999799,39.61573692805721,29.952047399047597,26.55464101852086,31.79084252698093,25.169234621346124,0,0,1,0,46.0,47.0,0.0
93,0,69.7000000000002,0.5,84.39062499999963,35.3923492604,66.9191471629892,80.0,2.9687499999998996,41.54351061807536,29.936576635127594,26.34627338851389,28.218105124105318,26.004503054831407,1,0,0,0,46.5,46.5,0.0
94,0,69.2000000000002,1.0,75.96614583333293,43.554039006469054,65.21597131876416,65.85786437626905,1.4843749999999498,47.5547760043281,29.272990441322953,17.618842438684105,28.214862173032763,26.45526337241817,1,0,0,0,47.0,46.0,0.0
95,0,68.7000000000002,1.5,66.92057291666625,40.5638160676381,69.2553684407589,55.85786437626905,0.7421874999999749,46.179696822877474,30.10751974404178,11.320519275417247,29.948684182694738,22.51173924107802,1,0,0,0,47.5,45.5,0.0
96,0,68.2000000000002,2.0,57.43945312499958,31.99763678635715,69.98663296166242,51.715728752538105,0.37109374999998745,41.11144535757518,31.69110679502235,8.489562578131638,30.10298077099511,17.226759304699808,1,0,0,0,48.0,45.0,0.0
97,0,67.9000000000002,2.1,47.61555989583292,20.643479333851197,65.97412163991976,37.57359312880715,0.18554687499999373,34.19660775034705,33.649222720133785,14.505419858998179,28.24348569775024,13.972837982013228,1,0,0,0,48.5,44.5,0.0
98,0,67.4000000000002,2.6,37.49527994791625,14.96640060759822,58.04486762580373,37.57359312880715,0.09277343749999686,31.00585561339965,34.74117623327746,14.10226172966055,24.883924655067094,10.987445565535177,1,0,0,0,49.0,44.0,0.0
99,0,66.9000000000002,3.1,27.101806640624588,14.198929056337212,51.2909636643456,51.715728752538105,0.04638671874999843,31.124524752836273,35.27710758309566,7.281768943746033,22.449056930264355,7.90531145134003,1,0,0,0,49.5,43.5,0.0
100,0,66.4000000000002,3.6,16.446736653645424,15.886261092572177,47.86441087967507,61.7157287525381,0.023193359374999216,32.8979045304649,35.48326776277832,12.812902023566483,21.450774444629495,10.68508818136855,1,0,0,0,50.0,43.0,0.0
